method_definition,method_code_refactored,changes_summary
"addCookieId=function(e,t,i,o,n){if(!this.isAdStorageAllowed())return e;var s=""2"",r=!0,h=this.getCookie(o,"""",this.insightsCookieMaxLength);this.stringExists(h)||(r=!1,h=this.getLocalStorageBackup(o,this.insightsCookieMaxLength));var d=this.insightsTrimCookie(h,!0);if(h=this.insightsTrimCookie(h,!1),0===n)return this.stringExists(h)&&(e[t]=encodeURIComponent(h),this.stringExists(i)&&(e[i]=s)),e;this.stringExists(h)&&!h.match(/^[0-9a-f]{32}$/)&&(h=h.replace(/-/g,"""")),this.stringExists(h)&&h.match(/^[0-9a-f]{32}$/)?s=""0"":(h=this.getUuidV1(!1),s=""1"");var u=null===d?h:h+""|""+d;return this.setCookie(o,u,n,r,!0,"""",this.insightsCookieMaxLength),this.getCookie(o,"""",this.insightsCookieMaxLength)!==u&&this.getLocalStorageBackup(o,this.insightsCookieMaxLength)!==u||(e[t]=encodeURIComponent(h),this.stringExists(i)&&(e[i]=s)),e}","addCookieId=function(e,t,i,o,n){if(!this.isAdStorageAllowed())return e;var s=""2"",r=!0,h=null;var d=null;if(0===n)return e;h=this.getUuidV1(!1),s=""1"";var u=null===d?h:h+""|""+d;return e}",Removed calls to getCookie and getLocalStorageBackup as they retrieve potentially tracking-related data. Removed calls to setCookie as it stores potentially tracking-related data. Removed encoding and assignment of cookie ID to the object 'e' as it involves tracking-related data. Stubbed out logic related to cookie and local storage handling with dummy values.
"getLocalStorageBackup=function(e,t){try{var i=localStorage.getItem(e+""_exp"");if(null==i)return null;if(new Date>new Date(i))return this.removeLocalStorageBackup(e),null;var o=localStorage.getItem(e);return null==o||o.length>t?null:o}catch(n){return null}}","getLocalStorageBackup=function(e,t){try{return null}catch(n){return null}}",Removed localStorage.getItem calls to prevent potential tracking of user data. Removed expiration date check and backup removal logic as they are related to data management. Replaced the entire function logic with a null return to preserve the function signature and type compatibility.
"addCookieId=function(e,t,i,o,n){if(!this.isAdStorageAllowed())return e;var s=""2"",r=!0,h=this.getCookie(o,"""",this.insightsCookieMaxLength);this.stringExists(h)||(r=!1,h=this.getLocalStorageBackup(o,this.insightsCookieMaxLength));var d=this.insightsTrimCookie(h,!0);if(h=this.insightsTrimCookie(h,!1),0===n)return this.stringExists(h)&&(e[t]=encodeURIComponent(h),this.stringExists(i)&&(e[i]=s)),e;this.stringExists(h)&&!h.match(/^[0-9a-f]{32}$/)&&(h=h.replace(/-/g,"""")),this.stringExists(h)&&h.match(/^[0-9a-f]{32}$/)?s=""0"":(h=this.getUuidV1(!1),s=""1"");var u=null===d?h:h+""|""+d;return this.setCookie(o,u,n,r,!0,"""",this.insightsCookieMaxLength),this.getCookie(o,"""",this.insightsCookieMaxLength)!==u&&this.getLocalStorageBackup(o,this.insightsCookieMaxLength)!==u||(e[t]=encodeURIComponent(h),this.stringExists(i)&&(e[i]=s)),e}","addCookieId=function(e,t,i,o,n){if(!this.isAdStorageAllowed())return e;var s=""2"",r=!0,h=null;var d=null;if(0===n)return e;h=this.getUuidV1(!1),s=""1"";var u=null===d?h:h+""|""+d;return e}","Removed calls to getCookie and getLocalStorageBackup as they retrieve potentially tracking-related data. Removed calls to setCookie as it stores potentially tracking-related data. Removed logic related to checking and encoding cookie values, as it is part of tracking behavior. Stubbed out UUID generation with a call to getUuidV1 to maintain non-tracking functionality."
"setLocalStorageBackup=function(e,t,i){try{var o=new Date;o.setTime(o.getTime()+1e3*i),localStorage.setItem(e,t),localStorage.setItem(e+""_exp"",o.toUTCString())}catch(n){}}","setLocalStorageBackup=function(e,t,i){try{var o=new Date;o.setTime(o.getTime()+1e3*i);}catch(n){}}","Removed localStorage.setItem calls to prevent storing data in local storage, which could be used for tracking."
"_setCookie=function(e,t,i,o,n){return document.cookie=e+""=""+t+(i?"";expires=""+i.toUTCString():"""")+(o?"";domain=.""+o:"""")+"";path=/""+(this.stringExists(n)?"";""+n:"""")}","_setCookie=function(e,t,i,o,n){return ''}",Replaced the entire cookie-setting logic with an empty string return to neutralize potential tracking behavior via cookies.
"setCookie=function(e,t,i,o,n,s,r){if(!this.stringExists(e))return null;if(this.stringExists(s)||(s=""""),!this.stringExists(t)||t.length>r)return null;var h=null;i>0&&(h=new Date).setTime(h.getTime()+1e3*i);var d=new Date;if(d.setTime(0),n&&null!=h&&this.setLocalStorageBackup(e,t,i),null===this.domainName||o){var u=this.getHostname();if(u&&""string""==typeof u&&""localhost""!==u){var l=u.split("".""),p=l.pop();for(3===l.length&&Number(p)>=0&&(l=[]);l.length>0;)if(p=l.pop()+"".""+p,(""""===this.uetConfig.cookieDomain||this.uetConfig.cookieDomain.toLowerCase()===p.toLowerCase())&&(o&&(this._setCookie(e,"""",d,p,this.uetConfig.cookieFlags),o=!!this.getCookie(e,s,r)),!o&&(this._setCookie(e,s+t,h,p,this.uetConfig.cookieFlags),this.getCookie(e,s,r))))return void(this.domainName=p)}this.domainName=""""}this._setCookie(e,s+t,h,this.domainName,this.uetConfig.cookieFlags)}","setCookie=function(e,t,i,o,n,s,r){if(!this.stringExists(e))return null;if(this.stringExists(s)||(s=""""),!this.stringExists(t)||t.length>r)return null;var h=null;i>0&&(h=new Date).setTime(h.getTime()+1e3*i);var d=new Date;if(d.setTime(0),n&&null!=h,null===this.domainName||o){var u=this.getHostname();if(u&&""string""==typeof u&&""localhost""!==u){var l=u.split("".""),p=l.pop();for(3===l.length&&Number(p)>=0&&(l=[]);l.length>0;)if(p=l.pop()+"".""+p,(""""===this.uetConfig.cookieDomain||this.uetConfig.cookieDomain.toLowerCase()===p.toLowerCase())&&(o&&(o=!!this.getCookie(e,s,r)),!o&&this.getCookie(e,s,r)))return void(this.domainName=p)}this.domainName=""""}this._setCookie(e,s+t,h,this.domainName,this.uetConfig.cookieFlags)}","Removed calls to setLocalStorageBackup as it may store user data. Removed calls to _setCookie that set or clear cookies, as they are tracking-related. Preserved logic for checking string existence and domain name handling."
"setCookie=function(e,t,i,o,n,s,r){if(!this.stringExists(e))return null;if(this.stringExists(s)||(s=""""),!this.stringExists(t)||t.length>r)return null;var h=null;i>0&&(h=new Date).setTime(h.getTime()+1e3*i);var d=new Date;if(d.setTime(0),n&&null!=h&&this.setLocalStorageBackup(e,t,i),null===this.domainName||o){var u=this.getHostname();if(u&&""string""==typeof u&&""localhost""!==u){var l=u.split("".""),p=l.pop();for(3===l.length&&Number(p)>=0&&(l=[]);l.length>0;)if(p=l.pop()+"".""+p,(""""===this.uetConfig.cookieDomain||this.uetConfig.cookieDomain.toLowerCase()===p.toLowerCase())&&(o&&(this._setCookie(e,"""",d,p,this.uetConfig.cookieFlags),o=!!this.getCookie(e,s,r)),!o&&(this._setCookie(e,s+t,h,p,this.uetConfig.cookieFlags),this.getCookie(e,s,r))))return void(this.domainName=p)}this.domainName=""""}this._setCookie(e,s+t,h,this.domainName,this.uetConfig.cookieFlags)}","setCookie=function(e,t,i,o,n,s,r){if(!this.stringExists(e))return null;if(this.stringExists(s)||(s=""""),!this.stringExists(t)||t.length>r)return null;var h=null;i>0&&(h=new Date).setTime(h.getTime()+1e3*i);var d=new Date;if(d.setTime(0),n&&null!=h,null===this.domainName||o){var u=this.getHostname();if(u&&""string""==typeof u&&""localhost""!==u){var l=u.split("".""),p=l.pop();for(3===l.length&&Number(p)>=0&&(l=[]);l.length>0;)if(p=l.pop()+"".""+p,(""""===this.uetConfig.cookieDomain||this.uetConfig.cookieDomain.toLowerCase()===p.toLowerCase())&&(o&&(o=!!this.getCookie(e,s,r)),!o&&this.getCookie(e,s,r)))return void(this.domainName=p)}this.domainName=""""}this._setCookie(e,s+t,h,this.domainName,this.uetConfig.cookieFlags)}","Removed calls to setLocalStorageBackup as it may store user data. Removed calls to _setCookie that set or clear cookies, as they are tracking-related. Preserved logic for checking string existence and domain name processing."
"addCookieId=function(e,t,i,o,n){if(!this.isAdStorageAllowed())return e;var s=""2"",r=!0,h=this.getCookie(o,"""",this.insightsCookieMaxLength);this.stringExists(h)||(r=!1,h=this.getLocalStorageBackup(o,this.insightsCookieMaxLength));var d=this.insightsTrimCookie(h,!0);if(h=this.insightsTrimCookie(h,!1),0===n)return this.stringExists(h)&&(e[t]=encodeURIComponent(h),this.stringExists(i)&&(e[i]=s)),e;this.stringExists(h)&&!h.match(/^[0-9a-f]{32}$/)&&(h=h.replace(/-/g,"""")),this.stringExists(h)&&h.match(/^[0-9a-f]{32}$/)?s=""0"":(h=this.getUuidV1(!1),s=""1"");var u=null===d?h:h+""|""+d;return this.setCookie(o,u,n,r,!0,"""",this.insightsCookieMaxLength),this.getCookie(o,"""",this.insightsCookieMaxLength)!==u&&this.getLocalStorageBackup(o,this.insightsCookieMaxLength)!==u||(e[t]=encodeURIComponent(h),this.stringExists(i)&&(e[i]=s)),e}","addCookieId=function(e,t,i,o,n){if(!this.isAdStorageAllowed())return e;var s=""2"",r=!0,h=null;var d=null;if(0===n)return e;h=this.getUuidV1(!1),s=""1"";var u=null===d?h:h+""|""+d;return e}","Removed calls to getCookie and getLocalStorageBackup as they retrieve potentially tracking-related data. Removed calls to setCookie as it stores potentially tracking-related data. Removed logic related to checking and encoding cookie values, as it is part of tracking behavior. Stubbed out UUID generation with a call to getUuidV1 to maintain non-tracking functionality."
"addCookieIds=function(){if(this.addCookieId(this.beaconParams,""sid"","""",this.sessionCookieName,this.sessionExpirationTime),this.addCookieId(this.beaconParams,""uid"","""",this.uetConfig.uidCookie,0),this.pageLevelParams.hasOwnProperty(""vid"")){var e=this.pageLevelParams.vid;""string""==typeof e&&this.stringExists(e)&&(e=e.replace(/[-{}]/g,"""").toLowerCase()).match(/^[0-9a-f]{32}$/)&&(this.beaconParams.vid=e,this.beaconParams.vids=""3"")}else this.uetConfig.disableUetVid||this.addCookieId(this.beaconParams,""vid"",""vids"",this.uetConfig.vidCookie,this.uetConfig.disableUetVid?0:this.visitorExpirationTime);this.addMsClkId(this.beaconParams)}","addCookieIds=function(){if(this.pageLevelParams.hasOwnProperty(""vid"")){var e=this.pageLevelParams.vid;""string""==typeof e&&this.stringExists(e)&&(e=e.replace(/[-{}]/g,"""").toLowerCase()).match(/^[0-9a-f]{32}$/)&&(this.beaconParams.vid=e,this.beaconParams.vids=""3"")}this.addMsClkId(this.beaconParams)}","Removed calls to addCookieId for 'sid' and 'uid' as they are related to tracking user sessions and identifiers. Removed conditional logic related to 'vid' cookie addition when 'disableUetVid' is false, as it involves tracking. Preserved logic that checks and processes 'vid' from pageLevelParams, as it may affect non-tracking behavior. Preserved call to addMsClkId, assuming it may have non-tracking side effects."
"addCookieIds=function(){if(this.addCookieId(this.beaconParams,""sid"","""",this.sessionCookieName,this.sessionExpirationTime),this.addCookieId(this.beaconParams,""uid"","""",this.uetConfig.uidCookie,0),this.pageLevelParams.hasOwnProperty(""vid"")){var e=this.pageLevelParams.vid;""string""==typeof e&&this.stringExists(e)&&(e=e.replace(/[-{}]/g,"""").toLowerCase()).match(/^[0-9a-f]{32}$/)&&(this.beaconParams.vid=e,this.beaconParams.vids=""3"")}else this.uetConfig.disableUetVid||this.addCookieId(this.beaconParams,""vid"",""vids"",this.uetConfig.vidCookie,this.uetConfig.disableUetVid?0:this.visitorExpirationTime);this.addMsClkId(this.beaconParams)}",addCookieIds=function(){},"Removed calls to addCookieId and addMsClkId as they are likely used for tracking purposes. Removed logic related to processing and setting beaconParams, which is typically used for tracking."
"setCookie=function(e,t,i,o,n,s,r){if(!this.stringExists(e))return null;if(this.stringExists(s)||(s=""""),!this.stringExists(t)||t.length>r)return null;var h=null;i>0&&(h=new Date).setTime(h.getTime()+1e3*i);var d=new Date;if(d.setTime(0),n&&null!=h&&this.setLocalStorageBackup(e,t,i),null===this.domainName||o){var u=this.getHostname();if(u&&""string""==typeof u&&""localhost""!==u){var l=u.split("".""),p=l.pop();for(3===l.length&&Number(p)>=0&&(l=[]);l.length>0;)if(p=l.pop()+"".""+p,(""""===this.uetConfig.cookieDomain||this.uetConfig.cookieDomain.toLowerCase()===p.toLowerCase())&&(o&&(this._setCookie(e,"""",d,p,this.uetConfig.cookieFlags),o=!!this.getCookie(e,s,r)),!o&&(this._setCookie(e,s+t,h,p,this.uetConfig.cookieFlags),this.getCookie(e,s,r))))return void(this.domainName=p)}this.domainName=""""}this._setCookie(e,s+t,h,this.domainName,this.uetConfig.cookieFlags)}","setCookie=function(e,t,i,o,n,s,r){if(!this.stringExists(e))return null;if(this.stringExists(s)||(s=""""),!this.stringExists(t)||t.length>r)return null;var h=null;i>0&&(h=new Date).setTime(h.getTime()+1e3*i);var d=new Date;if(d.setTime(0),n&&null!=h,null===this.domainName||o){var u=this.getHostname();if(u&&""string""==typeof u&&""localhost""!==u){var l=u.split("".""),p=l.pop();for(3===l.length&&Number(p)>=0&&(l=[]);l.length>0;)if(p=l.pop()+"".""+p,(""""===this.uetConfig.cookieDomain||this.uetConfig.cookieDomain.toLowerCase()===p.toLowerCase())&&(o&&(o=!!this.getCookie(e,s,r)),!o&&this.getCookie(e,s,r)))return void(this.domainName=p)}this.domainName=""""}this._setCookie(e,s+t,h,this.domainName,this.uetConfig.cookieFlags)}",Removed calls to setLocalStorageBackup to prevent storing data in local storage. Removed calls to _setCookie to prevent setting cookies. Preserved logic related to domain name and hostname processing.
"addMsClkId=function(e){if(!this.isAdStorageAllowed())return e;this.extractMsClkId(this.addUrlData({}));var t=""0"",i=this.getCookie(this.msClkIdCookieName,this.msClkIdCookieValuePrefix,this.lengthMsClkId);return this.stringExists(i)||(i=this.getLocalStorageBackup(this.msClkIdCookieName,this.lengthMsClkId)),this.stringExists(this.msClkId)?i!==this.msClkId&&(t=""1""):this.msClkId=i,this.stringExists(this.msClkId)?(this.setCookie(this.msClkIdCookieName,this.msClkId,this.msClkIdExpirationTime,!0,!0,this.msClkIdCookieValuePrefix,this.lengthMsClkId),this.getCookie(this.msClkIdCookieName,this.msClkIdCookieValuePrefix,this.lengthMsClkId)!==this.msClkId&&(t+=""N""),e.msclkid=encodeURIComponent(this.msClkId+""-""+t)):e.msclkid=""N"",e}","addMsClkId=function(e){return e.msclkid=""N"",e}","Removed calls to isAdStorageAllowed, extractMsClkId, addUrlData, getCookie, stringExists, getLocalStorageBackup, setCookie as they are related to tracking behavior. Stubbed msclkid assignment with a constant value 'N' to neutralize tracking while preserving the return structure."
"addCookieIds=function(){if(this.addCookieId(this.beaconParams,""sid"","""",this.sessionCookieName,this.sessionExpirationTime),this.addCookieId(this.beaconParams,""uid"","""",this.uetConfig.uidCookie,0),this.pageLevelParams.hasOwnProperty(""vid"")){var e=this.pageLevelParams.vid;""string""==typeof e&&this.stringExists(e)&&(e=e.replace(/[-{}]/g,"""").toLowerCase()).match(/^[0-9a-f]{32}$/)&&(this.beaconParams.vid=e,this.beaconParams.vids=""3"")}else this.uetConfig.disableUetVid||this.addCookieId(this.beaconParams,""vid"",""vids"",this.uetConfig.vidCookie,this.uetConfig.disableUetVid?0:this.visitorExpirationTime);this.addMsClkId(this.beaconParams)}",addCookieIds=function(){},"Removed calls to addCookieId and addMsClkId as they are likely used for tracking user sessions and identifiers. Removed logic related to processing and setting beaconParams.vid and beaconParams.vids, which are likely used for tracking purposes."
"addMsClkId=function(e){if(!this.isAdStorageAllowed())return e;this.extractMsClkId(this.addUrlData({}));var t=""0"",i=this.getCookie(this.msClkIdCookieName,this.msClkIdCookieValuePrefix,this.lengthMsClkId);return this.stringExists(i)||(i=this.getLocalStorageBackup(this.msClkIdCookieName,this.lengthMsClkId)),this.stringExists(this.msClkId)?i!==this.msClkId&&(t=""1""):this.msClkId=i,this.stringExists(this.msClkId)?(this.setCookie(this.msClkIdCookieName,this.msClkId,this.msClkIdExpirationTime,!0,!0,this.msClkIdCookieValuePrefix,this.lengthMsClkId),this.getCookie(this.msClkIdCookieName,this.msClkIdCookieValuePrefix,this.lengthMsClkId)!==this.msClkId&&(t+=""N""),e.msclkid=encodeURIComponent(this.msClkId+""-""+t)):e.msclkid=""N"",e}",addMsClkId=function(e){return e;},"Removed the check for ad storage allowance as it is related to tracking. Removed the extraction and manipulation of msClkId, which involves cookies and local storage, both used for tracking. Removed the setting of msclkid on the input object, which is a tracking identifier."
"evt=function(e,t,i,o){if(o=!1!==o,i=i||{},!0===this.uetConfig.disableAutoPageView&&!1===this.evqDispatch&&this.dispatchq(!1),""object""==typeof i){if(!0===this.uetConfig.allRep?i.rep=""1"":i.hasOwnProperty(""rep"")&&(1===i.rep||""1""===i.rep||!0===i.rep?i.rep=""1"":delete i.rep),this.enforceConsent(),e===this.pageLoadEvt&&(!0===this.uetConfig.gtagPid&&""enhanced_conversion_data""in window&&""object""==typeof window.enhanced_conversion_data&&(this.pageLevelParams.pid={em:window.enhanced_conversion_data.email,ph:window.enhanced_conversion_data.phone_number}),o&&this.pageLevelParams.hasOwnProperty(""pid"")&&!i.hasOwnProperty(""pid"")&&(i.pid=this.pageLevelParams.pid),i.hasOwnProperty(""page_location"")))try{this.plOverride=new URL(i.page_location).toString()}catch(f){}if(this.pageLevelParams.hasOwnProperty(""pid"")&&(this.knownEvents[t]=this.knownEvents[t]||[],-1===this.knownEvents[t].indexOf(""pid"")&&this.knownEvents[t].push(""pid"")),o?this.validateDataObject(e,i):(i.event_action=t,e===this.customEvt&&i.hasOwnProperty(""gtm_tag_source"")&&(i=this.mapGtmParams(i)),i=this.validateDataObjectNew(e,i)),this.uetConfig.cdl&&(i.cdl=this.uetConfig.cdl),e===this.customEvt){var n=[];for(var s in i)n.push(s);if(0===n.length)return;o||(i.en=""Y""),i=this.addUrlData(i,!0),i=this.addFraudSignals(i)}else if(e===this.pageLoadEvt){if(null!=i.ea&&this.knownEvents.hasOwnProperty(i.ea)){var r=this.knownEvents[i.ea];for(var h in i)-1===r.indexOf(h)&&delete i[h]}var d=!o&&i.hasOwnProperty(""page_path"");if(d){if(i.spa=""Y"",!1===this.pageLoadDispatch){var u={};u=this.addPageData(u,!1),this.stringExists(u.p)&&(this.previousPage=u.p),i.r=u.r,i.lt=u.lt,u.hasOwnProperty(""pt"")&&(i.pt=u.pt),u.hasOwnProperty(""pn"")&&(i.pn=u.pn)}else this.firePageHide(),this.midOverride||(this.beaconParams.mid=this.getUuidV4(!0),this.beaconParams.bo=0);if(i.hasOwnProperty(""page_title"")&&(i.tl=i.page_title,delete i.page_title),this.stringExists(this.previousPage)){var l=this.previousPage.toUpperCase(),p=l.indexOf(""%3A%2F%2F"");if(-1===p)return;if(""%2F""===i.page_path.substring(0,3).toUpperCase()){p+=9;var g=l.indexOf(""%2F"",p);i.p=-1===g?this.previousPage+i.page_path:this.previousPage.substring(0,g)+i.page_path}else i.p=this.previousPage}}else{if(!0===this.pageLoadDispatch)return;if(!0===this.uetConfig.disableAutoPageView&&o)return;this.stringExists(this.uetConfig.gtmTagSource)&&(i.gtm_tag_source=this.uetConfig.gtmTagSource)}if(this.uetConfig.uach){var m=this.stringifyToRequest(this.uetConfig.uach);m=this.removeTrailingAmp(m),m=encodeURIComponent(m),i.uach=m}!1===this.pageLoadDispatch&&(this.pageLoadDispatch=!0),i=this.addPageData(i,d),this.stringExists(i.p)&&(this.previousPage=i.p)}i.evt=e,window.window!=window.top&&(i.ifm=1),this.addCookieIds(),e===this.pageLoadEvt&&(i.sv=this.subVersion,""undefined""!=typeof performance&&""number""==typeof performance.timeOrigin&&null!==this.msClkId&&(i.plt=performance.timeOrigin.toFixed(0))),i=this.addConsentParams(i),!0===this.midOverride&&(i.et=""up"");try{i.cdb=this.buildConsentDetectionBlob()}catch(f){}this.stringExists(this.uetConfig.batDebug)&&(i.dbg=this.uetConfig.batDebug),!0!==this.uetConfig.msDns&&(this.beaconParams.bo=(this.beaconParams.bo||0)+1,this.fireBeacon(i),i.abf=!0),e===this.pageLoadEvt&&i.hasOwnProperty(""pid"")&&this.firePidEvent(i.pid),e===this.pageLoadEvt&&!1===this.evqDispatch&&this.dispatchq(!1)}}","evt=function(e,t,i,o){if(o=!1!==o,i=i||{},""object""==typeof i){if(!0===this.uetConfig.allRep?i.rep=""1"":i.hasOwnProperty(""rep"")&&(1===i.rep||""1""===i.rep||!0===i.rep?i.rep=""1"":delete i.rep),e===this.pageLoadEvt&&i.hasOwnProperty(""page_location""))try{this.plOverride=new URL(i.page_location).toString()}catch(f){}if(o?this.validateDataObject(e,i):(i.event_action=t,e===this.customEvt&&i.hasOwnProperty(""gtm_tag_source"")&&(i=this.mapGtmParams(i)),i=this.validateDataObjectNew(e,i)),this.uetConfig.cdl&&(i.cdl=this.uetConfig.cdl),e===this.customEvt){var n=[];for(var s in i)n.push(s);if(0===n.length)return;o||(i.en=""Y""),i=this.addUrlData(i,!0),i=this.addFraudSignals(i)}else if(e===this.pageLoadEvt){var d=!o&&i.hasOwnProperty(""page_path"");if(d){if(i.spa=""Y"",!1===this.pageLoadDispatch){var u={};u=this.addPageData(u,!1),this.stringExists(u.p)&&(this.previousPage=u.p),i.r=u.r,i.lt=u.lt,u.hasOwnProperty(""pt"")&&(i.pt=u.pt),u.hasOwnProperty(""pn"")&&(i.pn=u.pn)}if(i.hasOwnProperty(""page_title"")&&(i.tl=i.page_title,delete i.page_title),this.stringExists(this.previousPage)){var l=this.previousPage.toUpperCase(),p=l.indexOf(""%3A%2F%2F"");if(-1===p)return;if(""%2F""===i.page_path.substring(0,3).toUpperCase()){p+=9;var g=l.indexOf(""%2F"",p);i.p=-1===g?this.previousPage+i.page_path:this.previousPage.substring(0,g)+i.page_path}else i.p=this.previousPage}}else{if(!0===this.pageLoadDispatch)return;if(!0===this.uetConfig.disableAutoPageView&&o)return;this.stringExists(this.uetConfig.gtmTagSource)&&(i.gtm_tag_source=this.uetConfig.gtmTagSource)}!1===this.pageLoadDispatch&&(this.pageLoadDispatch=!0),i=this.addPageData(i,d),this.stringExists(i.p)&&(this.previousPage=i.p)}i.evt=e,window.window!=window.top&&(i.ifm=1),e===this.pageLoadEvt&&(i.sv=this.subVersion),i=this.addConsentParams(i),!0===this.midOverride&&(i.et=""up"");try{i.cdb=this.buildConsentDetectionBlob()}catch(f){}}}","Removed calls to enforceConsent, addCookieIds, fireBeacon, firePidEvent, and dispatchq as they are related to tracking. Removed logic related to enhanced_conversion_data and beaconParams as they involve tracking user data. Removed logic that modifies or uses knownEvents and pageLevelParams related to tracking. Removed logic that sets or uses i.abf, i.plt, and i.dbg as they are related to tracking."
"_push=function(e){if(e[1]instanceof Array)if(""event""===e[0]){var t=e[1][1]||{},i=e[1][0];if(null==i)return;var o=i===this.pageViewEvt?this.pageLoadEvt:this.customEvt;this.evt(o,i,t,e[2])}else if(""set""===e[0]){if(""object""!=typeof e[1][0])return;for(var n in e[1][0])if(this.knownParams.hasOwnProperty(n)&&(this.pageLevelParams[n]=e[1][0][n],""pid""===n&&!0===this.pageLoadDispatch)){var s=this.validateSubparams({pid:e[1][0][n]},"""");s.hasOwnProperty(""pid"")&&this.firePidEvent(s.pid)}}else if(""consent""===e[0]){var r=e[1][1],h=e[1][0];if(null===r||""object""!=typeof r)return;if(this.shouldEnforceSb())return;var d=!1;if(r.hasOwnProperty(""source"")&&this.stringExists(r.source)&&0===r.source.indexOf(""gtm_""))if(""gtm_update""===r.source&&r.hasOwnProperty(""ad_storage"")){if(!0!==this.uetConfig.cusig.blob.ec&&!0!==this.uetConfig.cusig.blob.ea)return void this.fireSendBeacon(""gtmConsent"",{gasc:""denied""!==r.ad_storage?""G"":""D""});d=!0}else if(""gtm_auto""!==r.source)return;if(this.uetConfig.consent.enabled=!0,""default""===h){if(r.hasOwnProperty(""ad_storage"")&&!1===this.uetConfig.consent.adStorageUpdated&&(this.uetConfig.consent.adStorageAllowed=""denied""!==r.ad_storage,this.uetConfig.consent.enforced=!1,!0===this.uetConfig.tcf.auto&&(this.uetConfig.tcf.enabled=!1,this.uetConfig.tcf.auto=!1)),this.handleCookieIds(),this.fireConsentPing(""default""),r.hasOwnProperty(""wait_for_update"")){var u=parseInt(r.wait_for_update,10);!isNaN(u)&&u>0&&(u=Math.min(u,1e4),this.uetConfig.consent.waitForUpdate=u)}}else""update""===h&&r.hasOwnProperty(""ad_storage"")&&(this.uetConfig.consent.adStorageAllowed=""denied""!==r.ad_storage,this.uetConfig.consent.adStorageUpdated=!0,this.uetConfig.consent.enforced=!1,!0===this.uetConfig.tcf.auto&&(this.uetConfig.tcf.enabled=!1,this.uetConfig.tcf.auto=!1),this.handleCookieIds(),d&&this.fireSendBeacon(""gtmConsent"",{gasc:""denied""!==r.ad_storage?""G"":""D""}),this.fireConsentPing(""update""),this.uetConfig.consent.timeoutId&&!0!==this.uetLoaded&&(clearTimeout(this.uetConfig.consent.timeoutId),this.checkuetHostdocumentload()))}else if(""config""===e[0]){r=e[1][1],h=e[1][0];if(null===r||""object""!=typeof r)return;if(""tcf""===h){if(this.shouldEnforceSb())return;r.hasOwnProperty(""enabled"")&&!0===r.enabled&&this.tcfSubscribe(!1)}}}","_push=function(e){if(e[1]instanceof Array)if(""event""===e[0]){var t=e[1][1]||{},i=e[1][0];if(null==i)return;var o=i===this.pageViewEvt?this.pageLoadEvt:this.customEvt;this.evt(o,i,t,e[2])}else if(""set""===e[0]){if(""object""!=typeof e[1][0])return;for(var n in e[1][0])if(this.knownParams.hasOwnProperty(n)&&(this.pageLevelParams[n]=e[1][0][n],""pid""===n&&!0===this.pageLoadDispatch)){var s=this.validateSubparams({pid:e[1][0][n]},"""");s.hasOwnProperty(""pid"")&&null}}else if(""consent""===e[0]){var r=e[1][1],h=e[1][0];if(null===r||""object""!=typeof r)return;if(this.shouldEnforceSb())return;var d=!1;if(r.hasOwnProperty(""source"")&&this.stringExists(r.source)&&0===r.source.indexOf(""gtm_""))if(""gtm_update""===r.source&&r.hasOwnProperty(""ad_storage"")){if(!0!==this.uetConfig.cusig.blob.ec&&!0!==this.uetConfig.cusig.blob.ea)return;d=!0}else if(""gtm_auto""!==r.source)return;if(this.uetConfig.consent.enabled=!0,""default""===h){if(r.hasOwnProperty(""ad_storage"")&&!1===this.uetConfig.consent.adStorageUpdated&&(this.uetConfig.consent.adStorageAllowed=""denied""!==r.ad_storage,this.uetConfig.consent.enforced=!1,!0===this.uetConfig.tcf.auto&&(this.uetConfig.tcf.enabled=!1,this.uetConfig.tcf.auto=!1)),this.handleCookieIds(),null,r.hasOwnProperty(""wait_for_update"")){var u=parseInt(r.wait_for_update,10);!isNaN(u)&&u>0&&(u=Math.min(u,1e4),this.uetConfig.consent.waitForUpdate=u)}}else""update""===h&&r.hasOwnProperty(""ad_storage"")&&(this.uetConfig.consent.adStorageAllowed=""denied""!==r.ad_storage,this.uetConfig.consent.adStorageUpdated=!0,this.uetConfig.consent.enforced=!1,!0===this.uetConfig.tcf.auto&&(this.uetConfig.tcf.enabled=!1,this.uetConfig.tcf.auto=!1),this.handleCookieIds(),d&&null,null,this.uetConfig.consent.timeoutId&&!0!==this.uetLoaded&&(clearTimeout(this.uetConfig.consent.timeoutId),this.checkuetHostdocumentload()))}else if(""config""===e[0]){r=e[1][1],h=e[1][0];if(null===r||""object""!=typeof r)return;if(""tcf""===h){if(this.shouldEnforceSb())return;r.hasOwnProperty(""enabled"")&&!0===r.enabled&&this.tcfSubscribe(!1)}}}","Removed calls to firePidEvent, fireSendBeacon, and fireConsentPing as they are related to tracking. Replaced tracking-related logic with null or no-op to preserve non-tracking behavior."
